query_id,rank,doc_id,content
Q01,1,193378,"Optimodal European Travel Ecosystem: EuTravel aims to: 1. Support the EU agenda towards an open and single market for mobility services by enabling travellers to organise a multimodal trip in accordance with their own criteria including environmental performance, providing multimodal travel service providers an effective way to deliver customised services addressing any type of specialised travel needs and facilitating fact-based EU policy making. 2. Promote the creation of content, open and linked data for travellers enriching the travelling experience. 3. Support travel industry players join forces towards realising an EU shared seamless mobility strategy and architecture. EuTravel will research and demonstrate Inter-modal travel optimised with respect to synchronisation between modes, passenger experience and rights and environmental performance (Optimodal Travel). The project objectives will be realised by: 1. Developing an open and readily usable Optimodality Framework aimed at integrating processes, data, and systems in a manner that eliminates interoperability barriers to the marketplace emergence of truly Optimodal travel services: from planning through booking and the full range of related travel support solutions. 2. Delivering Optimodality Ecosystem Enablers, offering an open infrastructure that allows organisations to set up cost-effective integration of existing systems and to create value added multimodal travel services. 3. Organising and developing a Living Lab to experiment and evaluate new concepts and prototype solutions in real life multimodal travel scenarios and obtain"
Q01,2,193378,"Enablers, offering an open infrastructure that allows organisations to set up cost-effective integration of existing systems and to create value added multimodal travel services. 3. Organising and developing a Living Lab to experiment and evaluate new concepts and prototype solutions in real life multimodal travel scenarios and obtain data to quantify impact. 4. Taking actions towards sustainable development including a Stakeholder Engagement Strategy and wide dissemination. EuTravel, unlike other projects/initiatives, will deliver an Ecosystem promoting and supporting Optimodal travel that will have higher chances of success as it will be populated with tools that tap into existing mainstream IT travel reservation systems and sources of data."
Q01,3,203166,"EURAXESS for Industry: The EURAXIND project is led by CRAC-VITAE with 6 partners (all Bridgehead Organisations) and 7 Third Parties from across Europe. EURAXIND addresses 2 key ERA priorities (1) creating ‘an open labour market for researchers’ and (2) ‘the optimal circulation of, access to, and transfer of scientific knowledge’, by increasing employer engagement with the EURAXESS network and Career Development Centres. It will do this by: identifying researchers and employers needs to support intersectoral mobility and collaboration; providing targeted online tools and resources to support institutional outreach and engagement with employers; creation of an Industry Career Development Module to encourage researchers within academia to consider research careers in other sectors; and increasing industry participation in EURAXESS services (particularly the jobs portal), by developing a targeted Employer Engagement Toolkit for EURAXESS Service Centres. The objectives of the project will be pursued over a 24 month period. Core activities will include employer, researcher and institutional literature reviews and surveys to identify various stakeholder needs; development of an industry engagement strategy and 14 dissemination workshops for employers (7) and institutions (7). These will feed into the development of the two principal outcomes: the Employer Engagement Toolkit and Industry Career Development Module. All these activities build on relevant current and previous European projects including EURAXESS Top I, II , III, REFLEX and PIPERS. EURAXIND"
Q01,4,193375,"The European Travellers Club: Account-Based Travelling across the European Union: ""The European Travellers Club is a programme by and for European transport ticketing schemes or operators, travellers organizations and technology providers to create seamless account-based traveling across the European Union. The programme is traveller-centric, meaning that the travelers will be in control of their preferences and privacy. While it includes innovative technological concepts, it is expressly designed to work with existing e-ticketing infrastructures in member states (Calypso, VDV, ITSO etc) as well as new possibilities (such as EMV-contactless, smart tokens etc). The """"eco-system"""" will be open for all potential suppliers through an open architecture with clear interfaces and standardized protocols. The architecture is such that it allows for a smooth integration with travel planning and booking tools, journey information and integration with other uses of e-identity, e-payment and e-ticketing. The programme consists of: (1) the governance structure of the European Travellers Club and National or Regional Travellers Clubs that ensures interoperability and traveller-in-control privacy, while avoiding a suppliers lock-in. (2) the technological development of our solutions for secure and fast identification in transport, our authentication and routing functionality between schemes, our solutions for privacy using derived-identities and personal storage options,"
Q01,5,199915,"ITY4EU project to involve a large group of stakeholders in the process. The participation will be strengthened by a visualisation-based story map process. The successful implementation of the vision for the future transport and mobility system of Europe will require a continuous cross-modal and inter-stakeholder dialogue and collaboration. For this purpose will the developed action plan also contain the blueprint for the implementation of a sustainable and continuous European Transport and Mobility Forum beyond the duration of the project, e.g. in the form of a new European Technology Platform. The work will be complemented by extensive networking and engagement activities and by dissemination with special focus on young generations and transport users in general."
Q01,6,205808,"Role of European Mobility and its Impacts in Narratives, Debates and EU Reforms: The overarching goal of the project is to understand the economic, social, institutional and policy factors that have shaped the impacts of free movement and public debates about it. It aims to help European policymakers develop policy responses that inspire public trust, ensure the fairness and sustainability of free movement, and maintain inclusive policies that reduce inequalities across the continent. First, the project will generate a deeper understanding of the nature and impacts of intra-EU mobility, focusing in particular on how countries’ institutional and policy environments shape the impacts of free movement on individuals, households, labour markets, public services and public finances. Second, it will assess how political and media narratives about intra-EU mobility are formed, focusing on the role of traditional and social media, political discourse, and influential participants in public debates. Third, it will assess the relationship between real and perceived impacts, examining the factors that drive realities and misperceptions about free movement and why these debates have unfolded in different ways across the EU. A consortium of researchers with deep understanding of policies and institutions across Europe will implement a multi-disciplinary research strategy. Cutting-edge research methods will range from content analysis based on machine-learning techniques to multi-wave panel and survey experiments to theoretical and empirical analysis of"
Q01,7,199915,"Action Plan for the future of Mobility in Europe: Global socio-economic and environmental megatrends are urging for a paradigm shift in mobility and transport that involves disruptive technologies and multimodal solutions. The individual transport sectors face diverse technical and non-technical requirements and rather individual, sometimes contradicting challenges. An action plan for the coherent implementation of innovative transport and mobility solutions in Europe is thus urgently needed and should be sustained by a wide range of societal stakeholders. The MOBILITY4EU project will develop such a plan taking into account all modes of transport as well as a multitude of societal drivers encompassing health, environment and climate protection, public safety and security, demographic change, urbanisation and globalisation, economic development, digitalisation and smart system integration. In order to obtain a widely supported and consensus–based action plan a Multi-Actor Multi-Criteria Analysis (MAMCA) methodology will be used to consult a broad stakeholder community representing the main societal actors including vulnerable to exclusion citizens in Europe. This stepwise and scientifically sound approach will allow the consortium of the MOBILITY4EU project to involve a large group of stakeholders in the process. The participation will be strengthened by a visualisation-based story map process. The successful implementation of the vision for the future transport and mobility system of Europe will require a continuous cross-modal and inter-stake"
Q01,8,193715,"Data driven approach for a Seamless Efficient European Travelling in 2050: DATASET2050 (DATA driven approach for a Seamless Efficient Travelling in 2050) is the very first Coordination and Support Action that - through a cutting edge data science approach - will provide insight into the door-to-door European travel paradigm for the current, 2035 and 2050 transport scenarios. DATASET2050 puts the passenger at the centre, paving the way for a seamless, efficient door-to-door travelling experience. The main focus will be put on analysing how the European transport supply profile (capacity, connections, business models, regulations, intermodality, processes, infrastructure) could adapt to the evolution of the demand profile (customers, demographics, passenger expectations, requirements). Through expert application of state-of-art predictive analytics, modelling, statistical analyses and data visualisation, with an examination of multimodal data, these analyses will enable the identification of European transport bottlenecks and weak areas across the different scenarios. These findings will serve as a basis for the development of intermodal transport concepts, identifying possible solutions for current and predicted shortcomings. The insights gained through the project's approach will highlight research needs towards the four hour door-to-door goal formulated by ACARE. Given the nature and aim of the initiative, the"
Q01,9,211941,"Towards more accessIble and iNCLUSIve mObility solutions for EuropeaN prioritised areas: The main objective of the INCLUSION project is to understand, assess and evaluate the accessibility and inclusiveness of transport solutions in European prioritised areas, identify gaps and unmet needs, propose and experiment with a range of innovative and transferable solutions, including ICT-enabled elements, ensuring accessible, inclusive and equitable conditions for all and especially vulnerable user categories. INCLUSION will address a large set of case studies (at least 50) involving different forms of geographical areas and transport contexts, demographic categories, population groups and mobility solutions, providing concrete experiences from various European sites and pilot initiatives involving a variety of regulatory and business frameworks, supporting technologies, organisational and operational conditions. Complementary to this, a number of innovative solutions will be concretely tried out and validated through real-life experiments (Innovation Pilot Labs) in a mix of urban, peri-/sub-urban and rural target areas in Belgium, Germany, Hungary, Italy, Spain and the UK, offering a variety of different transport environments, socio-economic contexts, cultural and geographical conditions. Expected results include: an understanding of the main challenges affecting transport provision and accessibility in the different type of prioritised areas; a structured view highlighting the dependencies among spatial and environmental characteristics, population"
Q01,10,198900,"Integrated Mobile Platform for Activity Commoditisation in the Travel market (IMPACT): • Market issue: EU tourism and travel sector (worth €300Bn and employing 9.7M people) faces new challenges to growth (incl. digitisation and diversification) that prevent SME growth: 1) Excessive fragmentation: high diversification (&gt;30 verticals) and hyperlocal nature of the market prevent scalability and innovation (PCWI, 2014). 2) Digital divide: 90% travellers research holidays online (FairFX, 2012), but only 12% of providers have digital reservation systems, skewing demand (PwC, 2014). 3) Price inflation: SME providers are forced to rely on high and overlapping referrals for customer acquisition, causing price inflation (Rezdi, 2015). The challenges are particularly acute for the guided tour segment, worth €7bn p.a. • Proposed solution: Touriocity has proven the concept of an Integrated Mobile Platform for Activity Commoditisation in the Travel market (IMPACT) to improve digital accesss for the long-tail of guided tour providers. IMPACT fits objectives of the Business Model Innovation work programme by supporting growth and innovation of 1.8M tour operators (81% have turnover &lt;€1M p.a., 33% &lt;€250k p.a), helping them to gain a growing share of the fast-growing bespoke guide"
