rank,score,doc_id,chunk_id,query_id
1,0.9792897701263428,193378,0,Q01
2,0.7078589200973511,193378,1,Q01
3,0.6793367862701416,203166,0,Q01
4,0.6776519417762756,193375,0,Q01
5,0.6719852685928345,199915,1,Q01
6,0.671572744846344,205808,0,Q01
7,0.6715424060821533,199915,0,Q01
8,0.671379804611206,193715,0,Q01
9,0.6708902716636658,211941,0,Q01
10,0.6705971956253052,198900,0,Q01
11,0.6700102686882019,204966,0,Q01
12,0.6646385192871094,193722,0,Q01
13,0.6509174704551697,194688,0,Q01
14,0.6466121673583984,206268,1,Q01
15,0.6449921131134033,210133,0,Q01
16,0.6423325538635254,206575,1,Q01
17,0.636313259601593,193386,0,Q01
18,0.6293739080429077,194890,1,Q01
19,0.6281430721282959,194894,1,Q01
20,0.6270809769630432,211640,1,Q01
21,0.6231348514556885,215583,1,Q01
22,0.6220043897628784,208399,0,Q01
23,0.6205251216888428,199885,0,Q01
24,0.6186395287513733,212877,0,Q01
25,0.6123729944229126,193715,1,Q01
26,0.6121840476989746,205970,0,Q01
27,0.6116229891777039,211640,0,Q01
28,0.6114580631256104,210916,1,Q01
29,0.6114464998245239,211697,1,Q01
30,0.610313892364502,206754,1,Q01
31,0.6044930815696716,197908,0,Q01
32,0.602153480052948,194894,0,Q01
33,0.6000994443893433,195421,0,Q01
34,0.5991414189338684,202774,1,Q01
35,0.5985403656959534,210137,0,Q01
36,0.597070574760437,194698,0,Q01
37,0.5934189558029175,209824,0,Q01
38,0.5927730798721313,194835,0,Q01
39,0.5908664464950562,194301,0,Q01
40,0.587682843208313,212913,1,Q01
41,0.5822159051895142,194890,0,Q01
42,0.5821107625961304,204772,0,Q01
43,0.5814940929412842,204148,0,Q01
44,0.5808085203170776,211098,0,Q01
45,0.5805745720863342,193353,0,Q01
46,0.5803622007369995,210136,0,Q01
47,0.5801849365234375,204966,1,Q01
48,0.5793775320053101,206230,1,Q01
49,0.5782711505889893,215683,1,Q01
50,0.578015923500061,194928,1,Q01
1,0.9878904819488525,213164,0,Q02
2,0.7255393862724304,199852,1,Q02
3,0.6988469362258911,201659,1,Q02
4,0.6886643171310425,200334,0,Q02
5,0.6803538203239441,193324,0,Q02
6,0.6588748097419739,193380,0,Q02
7,0.6572160720825195,205926,0,Q02
8,0.6446958780288696,211706,0,Q02
9,0.6438423991203308,194660,0,Q02
10,0.6398053169250488,199138,1,Q02
11,0.6211701035499573,211234,0,Q02
12,0.6198793053627014,197966,0,Q02
13,0.617418110370636,206442,0,Q02
14,0.6064702272415161,210106,1,Q02
15,0.6049947738647461,212877,1,Q02
16,0.603652834892273,211939,0,Q02
17,0.5997985601425171,199181,0,Q02
18,0.5996780395507812,213015,0,Q02
19,0.5991007089614868,199835,0,Q02
20,0.5984579920768738,211697,1,Q02
21,0.5974637269973755,194228,0,Q02
22,0.5941157341003418,205445,0,Q02
23,0.5908564925193787,206383,1,Q02
24,0.590009331703186,208283,1,Q02
25,0.5895873308181763,209718,1,Q02
26,0.5879662036895752,197430,1,Q02
27,0.5870101451873779,199174,0,Q02
28,0.5850863456726074,213159,1,Q02
29,0.5799349546432495,197933,1,Q02
30,0.5789415240287781,212386,0,Q02
31,0.5776846408843994,200154,1,Q02
32,0.5752997994422913,209952,1,Q02
33,0.5729742050170898,205677,0,Q02
34,0.5726437568664551,205659,1,Q02
35,0.5718188285827637,204264,1,Q02
36,0.5717596411705017,204264,0,Q02
37,0.5706671476364136,206575,0,Q02
38,0.5667120218276978,197167,0,Q02
39,0.5665668845176697,206181,1,Q02
